World Population Data 2019 from the United Nations
Rank; Country; 2018; 2019; % Share; Pop Change; % Change; Continent
1; China; 1427647786; 1433783686; 18.6; 6135900; 0.43; Asia
2; India; 1352642280; 1366417754; 17.7; 13775474; 1.02; Asia
3; United States of America; 327096265; 329064917; 4.27; 1968652; 0.60; North America
4; Indonesia; 267670543; 270625568; 3.51; 2955025; 1.10; Asia
5; Pakistan; 212228286; 216565318; 2.81; 4337032; 2.04; Asia
6; Brazil; 209469323; 211049527; 2.74; 1580204; 0.75; South America
7; Nigeria; 195874683; 200963599; 2.61; 5088916; 2.60; Africa
8; Bangladesh; 161376708; 163046161; 2.11; 1669453; 1.03; Asia
9; Russian Federation; 145734038; 145872256; 1.89; 138218; 0.09; Europe
10; Mexico; 126190788; 127575529; 1.65; 1384741; 1.10; North America
11; Japan; 127202192; 126860301; 1.64; -341891; -0.27; Asia
12; Ethiopia; 109224414; 112078730; 1.45; 2854316; 2.61; Africa
13; Philippines; 106651394; 108116615; 1.40; 1465221; 1.37; Asia
14; Egypt; 98423598; 100388073; 1.30; 1964475; 2.00; Africa
15; Viet Nam; 95545962; 96462106; 1.25; 916144; 0.96; Asia
16; The Congo; 84068091; 86790567; 1.13; 2722476; 3.24; Africa
17; Germany; 83124418; 83517045; 1.08; 392627; 0.47; Europe
18; Turkey; 82340088; 83429615; 1.08; 1089527; 1.32; Asia
19; Iran; 81800188; 82913906; 1.07; 1113718; 1.36; Asia
20; Thailand; 69428453; 69625582; 0.903; 197129; 0.28; Asia
21; United Kingdom; 67141684; 67530172; 0.875; 388488; 0.58; Europe
22; France; 64990511; 65129728; 0.844; 139217; 0.21; Europe
23; Italy; 60627291; 60550075; 0.785; -77216; -0.13; Europe
24; South Africa; 57792518; 58558270; 0.759; 765752; 1.33; Africa
25; Tanzania; 56313438; 58005463; 0.752; 1692025; 3.00; Africa
26; Myanmar; 53708320; 54045420; 0.701; 337100; 0.63; Asia
27; Kenya; 51392565; 52573973; 0.682; 1181408; 2.30; Africa
28; South Korea; 51171706; 51225308; 0.664; 53602; 0.10; Asia
29; Colombia; 49661048; 50339443; 0.653; 678395; 1.37; South America
30; Spain; 46692858; 46736776; 0.606; 43918; 0.09; Europe
31; Argentina; 44361150; 44780677; 0.581; 419527; 0.95; South America
32; Uganda; 42729036; 44269594; 0.574; 1540558; 3.61; Africa
33; Ukraine; 44246156; 43993638; 0.570; -252518; -0.57; Europe
34; Algeria; 42228408; 43053054; 0.558; 824646; 1.95; Africa
35; Sudan; 41801533; 42813238; 0.555; 1011705; 2.42; Africa
36; Iraq; 38433600; 39309783; 0.510; 876183; 2.28; Asia
37; Afghanistan; 37171921; 38041754; 0.493; 869833; 2.34; Asia
38; Poland; 37921592; 37887768; 0.491; -33824; -0.09; Europe
39; Canada; 37074562; 37411047; 0.485; 336485; 0.91; North America
40; Morocco; 36029093; 36471769; 0.473; 442676; 1.23; Africa
41; Saudi Arabia; 33702756; 34268528; 0.444; 565772; 1.68; Asia
42; Uzbekistan; 32476244; 32981716; 0.428; 505472; 1.56; Asia
43; Peru; 31989260; 32510453; 0.421; 521193; 1.63; South America
44; Malaysia; 31528033; 31949777; 0.414; 421744; 1.34; Asia
45; Angola; 30809787; 31825295; 0.413; 1015508; 3.30; Africa
46; Ghana; 29767102; 30417856; 0.394; 650754; 2.19; Africa
47; Mozambique; 29496004; 30366036; 0.394; 870032; 2.95; Africa
48; Yemen; 28498683; 29161922; 0.378; 663239; 2.33; Asia
49; Nepal; 28095714; 28608710; 0.371; 512996; 1.83; Asia
50; Venezuela ; 28887118; 28515829; 0.370; -371289; -1.29; South America
51; Madagascar; 26262313; 26969307; 0.350; 706994; 2.69; Africa
